t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN
2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.054690917763512,nan,nan,NO_WELD
2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.054690917763512,nan,nan,NO_WELD
2.26,0.032582298035693374,-0.015749614931596555,0.03021985579595389,0.03494474027543286,0.0,0.0,0.0302,0.0349,0,0,0.0,0.0,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.31,0.032582298035693374,-0.015749614931596555,0.03021985579595389,0.03494474027543286,0.0,0.0,0.0302,0.0349,0,0,0.0,0.0,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.36,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,0,0,0.0,0.0,3.4150945850063755e-06,0.17578466998614392,-0.1757812548915589,WELD_FOUND
2.41,0.035,0.0,0.035,0.035,0.0,0.0099,0.035,0.0251,4,4,0.0037,0.0037,3.4150945850063755e-06,0.17578466998614392,-0.1757812548915589,WELD_FOUND
2.46,0.035,0.0,0.035,0.035,0.0148,0.0099,0.0202,0.0251,4,4,0.0037,0.0037,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
2.51,0.035,0.0,0.035,0.035,0.0148,0.0282,0.0202,0.0068,10,10,0.0093,0.0093,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
2.56,0.035,0.0,0.035,0.035,0.0148,0.0282,0.0202,0.0068,10,10,0.0093,0.0093,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
2.61,0.035,0.0,0.035,0.035,0.0386,0.0354,-0.0036,-0.0004,16,15,0.0148,0.0139,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
2.66,0.0,0.0,0.0,0.0,0.0386,0.0354,-0.0386,-0.0354,16,15,0.0148,0.0139,3.4150945850063755e-06,nan,nan,NO_WELD
2.71,0.0,0.0,0.0,0.0,0.0386,0.0354,-0.0386,-0.0354,20,20,0.0185,0.0185,3.4150945850063755e-06,nan,nan,NO_WELD
2.76,0.03304743298728524,-0.01605953202601233,0.030638503183383393,0.03545636279118709,0.033,0.0336,-0.0024,0.0018,20,20,0.0185,0.0185,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.81,0.03304743298728524,-0.01605953202601233,0.030638503183383393,0.03545636279118709,0.033,0.0336,-0.0024,0.0018,21,20,0.0195,0.0185,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.86,0.032675061300122064,-0.016186854821000612,0.030247033076971973,0.03510308952327216,0.033,0.0336,-0.0028,0.0015,21,20,0.0195,0.0185,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.91,0.032675061300122064,-0.016186854821000612,0.030247033076971973,0.03510308952327216,0.0272,0.0251,0.003,0.01,23,22,0.0213,0.0204,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.96,0.0,0.0,0.0,0.0,0.0272,0.0251,-0.0272,-0.0251,23,22,0.0213,0.0204,0.35156592487770283,nan,nan,NO_WELD
3.01,0.0,0.0,0.0,0.0,0.0272,0.0251,-0.0272,-0.0251,26,25,0.0241,0.0232,0.35156592487770283,nan,nan,NO_WELD
3.061,0.0,0.0,0.0,0.0,0.0237,0.0225,-0.0237,-0.0225,26,25,0.0241,0.0232,0.35156592487770283,nan,nan,NO_WELD
3.11,0.0,0.0,0.0,0.0,0.0237,0.0225,-0.0237,-0.0225,27,25,0.025,0.0232,0.35156592487770283,nan,nan,NO_WELD
3.16,0.03260084013954352,-0.01531647344577096,0.03030336912267788,0.034898311156409165,0.0237,0.0225,0.0066,0.0124,27,25,0.025,0.0232,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
3.21,0.03260084013954352,-0.01531647344577096,0.03030336912267788,0.034898311156409165,0.0167,0.018,0.0136,0.0169,27,25,0.025,0.0232,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
3.26,0.0,0.0,0.0,0.0,0.0167,0.018,-0.0167,-0.018,27,25,0.025,0.0232,0.35156592487770283,nan,nan,NO_WELD
3.31,0.0,0.0,0.0,0.0,0.0212,0.0219,-0.0212,-0.0219,30,28,0.0278,0.0259,0.35156592487770283,nan,nan,NO_WELD
3.36,0.0,0.0,0.0,0.0,0.0212,0.0219,-0.0212,-0.0219,30,28,0.0278,0.0259,0.35156592487770283,nan,nan,NO_WELD
3.41,0.0,0.0,0.0,0.0,0.0201,0.0205,-0.0201,-0.0205,32,30,0.0297,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.46,0.0,0.0,0.0,0.0,0.0201,0.0205,-0.0201,-0.0205,32,30,0.0297,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.51,0.0,0.0,0.0,0.0,0.0201,0.0205,-0.0201,-0.0205,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.56,0.0,0.0,0.0,0.0,0.0096,0.0164,-0.0096,-0.0164,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.61,0.0,0.0,0.0,0.0,0.0096,0.0164,-0.0096,-0.0164,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.66,0.0,0.0,0.0,0.0,0.0096,0.0164,-0.0096,-0.0164,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.71,0.0,0.0,0.0,0.0,0.0077,0.0132,-0.0077,-0.0132,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.76,0.0,0.0,0.0,0.0,0.0077,0.0132,-0.0077,-0.0132,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.81,0.0,0.0,0.0,0.0,0.0061,0.0105,-0.0061,-0.0105,31,30,0.0287,0.0278,0.35156592487770283,nan,nan,NO_WELD
3.86,0.035,0.0,0.035,0.035,0.0061,0.0105,0.0289,0.0245,31,30,0.0287,0.0278,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
3.91,0.035,0.0,0.035,0.035,0.0061,0.0105,0.0289,0.0245,31,30,0.0287,0.0278,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
3.96,0.0,0.0,0.0,0.0,0.0049,0.0084,-0.0049,-0.0084,31,30,0.0287,0.0278,3.4150945850063755e-06,nan,nan,NO_WELD
4.01,0.0,0.0,0.0,0.0,0.0049,0.0084,-0.0049,-0.0084,34,34,0.0315,0.0315,3.4150945850063755e-06,nan,nan,NO_WELD
4.061,0.03305895872694979,0.015962310261781437,0.035453305266217004,0.030664612187682575,0.0049,0.0084,0.0305,0.0222,34,34,0.0315,0.0315,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND
4.11,0.03305895872694979,0.015962310261781437,0.035453305266217004,0.030664612187682575,0.0178,0.0199,0.0177,0.0108,37,36,0.0343,0.0334,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND
4.16,0.035,0.0,0.035,0.035,0.0178,0.0199,0.0172,0.0151,37,36,0.0343,0.0334,3.4150945850063755e-06,-0.17577783979697392,0.17578125489155894,WELD_FOUND
